segment_L,accession_L,country,admin1,location,latitude,longitude
KM821926|ISTH1003_NIG_2011|Human|Nigeria|2011,KM821926,NGA,,,NA,NA
KM821928|ISTH1038_NIG_2011|Human|Nigeria|2011,KM821928,NGA,,,NA,NA
KM821930|ISTH1048_NIG_2011|Human|Nigeria|2011,KM821930,NGA,,,NA,NA
KM821932|ISTH1058_NIG_2011|Human|Nigeria|2011,KM821932,NGA,,,NA,NA
KM821934|ISTH1064_NIG_2011|Human|Nigeria|2011,KM821934,NGA,,,NA,NA
KM821936|ISTH1069_NIG_2011|Human|Nigeria|2011,KM821936,NGA,,,NA,NA
KM821938|ISTH1096_NIG_2012|Human|Nigeria|2012,KM821938,NGA,,,NA,NA
KM821940|ISTH1107_NIG_2012|Human|Nigeria|2012,KM821940,NGA,,,NA,NA
KM821942|ISTH1111_NIG_2011|Human|Nigeria|2011,KM821942,NGA,,,NA,NA
KM821944|ISTH1121_NIG_2012|Human|Nigeria|2012,KM821944,NGA,,,NA,NA
KM821946|ISTH1129_NIG_2012|Human|Nigeria|2012,KM821946,NGA,,,NA,NA
KM821948|ISTH1137_NIG_2011|Human|Nigeria|2011,KM821948,NGA,,,NA,NA
KM821950|ISTH2010_NIG_2012|Human|Nigeria|2012,KM821950,NGA,,,NA,NA
KM821952|ISTH2016_NIG_2012|Human|Nigeria|2012,KM821952,NGA,,,NA,NA
KM821954|ISTH2020_NIG_2012|Human|Nigeria|2012,KM821954,NGA,,,NA,NA
KM821956|ISTH2025_NIG_2012|Human|Nigeria|2012,KM821956,NGA,,,NA,NA
KM821958|ISTH2031_NIG_2012|Human|Nigeria|2012,KM821958,NGA,,,NA,NA
KM821960|ISTH2037_NIG_2012|Human|Nigeria|2012,KM821960,NGA,,,NA,NA
KM821962|ISTH2042_NIG_2012|Human|Nigeria|2012,KM821962,NGA,,,NA,NA
KM821964|ISTH2046_NIG_2012|Human|Nigeria|2012,KM821964,NGA,,,NA,NA
KM821966|ISTH2050_NIG_2012|Human|Nigeria|2012,KM821966,NGA,,,NA,NA
KM821968|ISTH2057_NIG_2012|Human|Nigeria|2012,KM821968,NGA,,,NA,NA
KM821970|ISTH2061_NIG_2012|Human|Nigeria|2012,KM821970,NGA,,,NA,NA
KM821978|ISTH2094_NIG_2012|Human|Nigeria|2012,KM821978,NGA,,,NA,NA
KM821981|ISTH2129_NIG_2012|Human|Nigeria|2012,KM821981,NGA,,,NA,NA
KM821983|ISTH2217_NIG_2012|Human|Nigeria|2012,KM821983,NGA,,,NA,NA
KM821985|ISTH2271_NIG_2012|Human|Nigeria|2012,KM821985,NGA,,,NA,NA
KM821987|ISTH2304_NIG_2012|Human|Nigeria|2012,KM821987,NGA,,,NA,NA
KM821989|ISTH2312_NIG_2012|Human|Nigeria|2012,KM821989,NGA,,,NA,NA
KM821991|ISTH2316_NIG_2012|Human|Nigeria|2012,KM821991,NGA,,,NA,NA
KM821993|ISTH2334_NIG_2012|Human|Nigeria|2012,KM821993,NGA,,,NA,NA
KM821995|ISTH2358_NIG_2012|Human|Nigeria|2012,KM821995,NGA,,,NA,NA
KM821997|ISTH2376_NIG_2012|Human|Nigeria|2012,KM821997,NGA,,,NA,NA
KM821999|LASV003_NIG_2008|Human|Nigeria|2008,KM821999,NGA,,,NA,NA
KM822001|LASV006_NIG_2008|Human|Nigeria|2008,KM822001,NGA,,,NA,NA
KM822003|LASV035_NIG_2009|Human|Nigeria|2009,KM822003,NGA,,,NA,NA
KM822005|LASV042_NIG_2009|Human|Nigeria|2009,KM822005,NGA,,,NA,NA
KM822007|LASV045_NIG_2009|Human|Nigeria|2009,KM822007,NGA,,,NA,NA
KM822009|LASV046_NIG_2009|Human|Nigeria|2009,KM822009,NGA,,,NA,NA
KM822011|LASV049_NIG_2009|Human|Nigeria|2009,KM822011,NGA,,,NA,NA
KM822013|LASV052_NIG_2008|Human|Nigeria|2008,KM822013,NGA,,,NA,NA
KM822015|LASV056_NIG_2008|Human|Nigeria|2008,KM822015,NGA,,,NA,NA
KM822017|LASV058_NIG_2008|Human|Nigeria|2008,KM822017,NGA,,,NA,NA
KM822019|LASV063_NIG_2009|Human|Nigeria|2009,KM822019,NGA,,,NA,NA
KM822021|LASV221_NIG_2010|Human|Nigeria|2010,KM822021,NGA,,,NA,NA
KM822024|LASV225_NIG_2010|Human|Nigeria|2010,KM822024,NGA,,,NA,NA
KM822026|LASV229_NIG_2010|Human|Nigeria|2010,KM822026,NGA,,,NA,NA
KM822028|LASV237_NIG_2010|Human|Nigeria|2010,KM822028,NGA,,,NA,NA
KM822030|LASV239_NIG_2010|Human|Nigeria|2010,KM822030,NGA,,,NA,NA
KM822032|LASV241_NIG_2011|Human|Nigeria|2011,KM822032,NGA,,,NA,NA
KM822034|LASV242_NIG_2010|Human|Nigeria|2010,KM822034,NGA,,,NA,NA
KM822036|LASV245_NIG_2011|Human|Nigeria|2011,KM822036,NGA,,,NA,NA
KM822038|LASV246_NIG_2010|Human|Nigeria|2010,KM822038,NGA,,,NA,NA
KM822040|LASV250_NIG_2011|Human|Nigeria|2011,KM822040,NGA,,,NA,NA
KM822042|LASV251_NIG_2010|Human|Nigeria|2010,KM822042,NGA,,,NA,NA
KM822044|LASV253_NIG_2011|Human|Nigeria|2011,KM822044,NGA,,,NA,NA
KM822046|LASV254_NIG_2011|Human|Nigeria|2011,KM822046,NGA,,,NA,NA
KM822048|LASV256_NIG_2010|Human|Nigeria|2010,KM822048,NGA,,,NA,NA
KM822050|LASV263_NIG_2011|Human|Nigeria|2011,KM822050,NGA,,,NA,NA
KM822052|LASV267_NIG_2010|Human|Nigeria|2010,KM822052,NGA,,,NA,NA
KM822054|LASV271_NIG_2010|Human|Nigeria|2010,KM822054,NGA,,,NA,NA
KM822056|LASV274_NIG_2010|Human|Nigeria|2010,KM822056,NGA,,,NA,NA
KM822058|LASV711_NIG_2009|Human|Nigeria|2009,KM822058,NGA,,,NA,NA
KM822061|LASV719_NIG_2009|Human|Nigeria|2009,KM822061,NGA,,,NA,NA
KM822064|LASV737_NIG_2009|Human|Nigeria|2009,KM822064,NGA,,,NA,NA
KM822068|LASV966_NIG_2009|Human|Nigeria|2009,KM822068,NGA,,,NA,NA
KM822070|LASV967_NIG_2009|Human|Nigeria|2009,KM822070,NGA,,,NA,NA
KM822073|LASV971_NIG_2009|Human|Nigeria|2009,KM822073,NGA,,,NA,NA
KM822075|LASV975_NIG_2009|Human|Nigeria|2009,KM822075,NGA,,,NA,NA
KM822077|LASV976_NIG_2009|Human|Nigeria|2009,KM822077,NGA,,,NA,NA
KM822079|LASV977_NIG_2009|Human|Nigeria|2009,KM822079,NGA,,,NA,NA
KM822081|LASV978_NIG_2009|Human|Nigeria|2009,KM822081,NGA,,,NA,NA
KM822083|LASV979_NIG_2009|Human|Nigeria|2009,KM822083,NGA,,,NA,NA
KM822085|LASV981_NIG_2009|Human|Nigeria|2009,KM822085,NGA,,,NA,NA
KM822087|LASV982_NIG_2009|Human|Nigeria|2009,KM822087,NGA,,,NA,NA
KM822090|LASV989_NIG_2009|Human|Nigeria|2009,KM822090,NGA,,,NA,NA
KM822092|LASV990_NIG_2009|Human|Nigeria|2009,KM822092,NGA,,,NA,NA
KM822094|LASV991_NIG_2009|Human|Nigeria|2009,KM822094,NGA,,,NA,NA
KM822096|LASV992_NIG_2009|Human|Nigeria|2009,KM822096,NGA,,,NA,NA
KM822098|LASV993_NIG_2009|Human|Nigeria|2009,KM822098,NGA,,,NA,NA
KM822100|LASV1000_NIG_2009|Human|Nigeria|2009,KM822100,NGA,,,NA,NA
KM822102|LASV1008_NIG_2009|Human|Nigeria|2009,KM822102,NGA,,,NA,NA
KM822104|LASV1011_NIG_2009|Human|Nigeria|2009,KM822104,NGA,,,NA,NA
KM822106|LASV1015_NIG_2009|Human|Nigeria|2009,KM822106,NGA,,,NA,NA
KM822108|LASV1016_NIG_2009|Human|Nigeria|2009,KM822108,NGA,,,NA,NA
KM822110|LM032_SLE_2010|Mouse|Sierra_Leone|2010,KM822110,SLE,,,NA,NA
KM822112|LM222_SLE_2010|Mouse|Sierra_Leone|2010,KM822112,SLE,,,NA,NA
KM822114|LM395_SLE_2009|Mouse|Sierra_Leone|2009,KM822114,SLE,,,NA,NA
KM822116|LM765-SLE-2012Mouse|Sierra_Leone|2012,KM822116,SLE,,,NA,NA
KM822119|LM774_SLE_2012|Mouse|Sierra_Leone|2012,KM822119,SLE,,,NA,NA
KM822121|LM776_SLE_2012|Mouse|Sierra_Leone|2012,KM822121,SLE,,,NA,NA
KM822123|LM778_SLE_2012|Mouse|Sierra_Leone|2012,KM822123,SLE,,,NA,NA
KM822125|LM779_SLE_2012|Mouse|Sierra_Leone|2012,KM822125,SLE,,,NA,NA
pinneo_NGA-Borno_Lassa_LS_1969,KM822127,NGA,Borno,Lassa,10.686987,13.272643
KM822129|Z0947_SLE_2011|Mouse|Sierra_Leone|2011,KM822129,SLE,,,NA,NA
KM822131|Z0948_SLE_2011|Mouse|Sierra_Leone|2011,KM822131,SLE,,,NA,NA
KT992426|Mad39|Mouse|Guinea|2014-05-08,KT992426,GIN,Kindia,MadinaOula,9.87,-12.43
KT992427|Mad41|Mouse|Guinea|2014-05-08,KT992427,GIN,Kindia,MadinaOula,9.87,-12.43
KT992428|Mad62|Mouse|Guinea|2014-05-09,KT992428,GIN,Kindia,MadinaOula,9.87,-12.43
KT992429|Mad63|Mouse|Guinea|2014-05-09,KT992429,GIN,Kindia,MadinaOula,9.87,-12.43
KT992430|Mad69|Mouse|Guinea|2014-05-09,KT992430,GIN,Kindia,MadinaOula,9.87,-12.43
KT992431|Mad83|Mouse|Guinea|2014-05-10,KT992431,GIN,Kindia,MadinaOula,9.87,-12.43
ONM-299_NGA-Benue_COORDINATES_Me_2011-10-23,KT992432,NGA,Benue,COORDINATES,7.6333,8.4
ONM-314_NGA-Benue_COORDINATES_Me_2011-10-24,KT992433,NGA,Benue,COORDINATES,7.6333,8.4
ONM-700_NGA-Benue_COORDINATES_Me_2012-10-29,KT992434,NGA,Benue,COORDINATES,7.6333,8.4
Kak-428_NGA-Osun_COORDINATES_Hp_2012-03-15,KT992435,NGA,Osun,COORDINATES,7.6833,4.6167
