segment_S,accession_S,country,admin1,location,latitude,longitude
KT833220|Son109|GIN|Guinea|2014-4-9,KT833220,GIN,Faranah,Sonkonia,9.912717,-10.798133
KT833219|Son85|GIN|Guinea|2014-4-8,KT833219,GIN,Faranah,Sonkonia,9.912717,-10.798133
DQ832678|BA378|Mouse|Guinea|2003,DQ832678,GIN,Faranah,Bantou,10.059767,-10.58615
KP339121|1755|Mastomys natalensis|Guinea|2011-10-19,KP339121,GIN,Faranah,Bantou,10.059767,-10.58615
KP339089|936|Mastomys natalensis|Guinea|2004-5-22,KP339089,GIN,Faranah,Bantou,10.059767,-10.58615
DQ832674|BA356|Mouse|Guinea|2003,DQ832674,GIN,Faranah,Bantou,10.059767,-10.58615
KT833205|Bri08|GIN|Guinea|2013-12-14,KT833205,GIN,Faranah,Brissa,10.2168333,-10.6887667
KT833206|Bri39|GIN|Guinea|2013-12-16,KT833206,GIN,Faranah,Brissa,10.2168333,-10.6887667
KT833178|Sok21|GIN|Guinea|2013-11-9,KT833178,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KT833196|Dal02|GIN|Guinea|2013-11-28,KT833196,GIN,Faranah,Dalafilani,10.1431667,-10.60505
KT833198|Dal11|GIN|Guinea|2013-11-28,KT833198,GIN,Faranah,Dalafilani,10.1431667,-10.60505
KT833200|Dal25|GIN|Guinea|2013-11-29,KT833200,GIN,Faranah,Dalafilani,10.1431667,-10.60505
KP339103|1198|Mastomys natalensis|Guinea|2004-10-4,KP339103,GIN,Faranah,Bantou,10.059767,-10.58615
DQ832672|BA350|Mouse|Guinea|2003,DQ832672,GIN,Faranah,Bantou,10.059767,-10.58615
KT833180|Sok32|GIN|Guinea|2013-11-10,KT833180,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KP339122|1770|Mastomys natalensis|Guinea|2011-10-19,KP339122,GIN,Faranah,Bantou,10.059767,-10.58615
DQ832669|BA263|Mouse|Guinea|2003,DQ832669,GIN,Faranah,Bantou,10.059767,-10.58615
KP339126|1840|Mastomys natalensis|Guinea|2011-10-21,KP339126,GIN,Faranah,Bantou,10.059767,-10.58615
KT833213|Sok51|GIN|Guinea|2014-4-3,KT833213,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KT833175|Sok07|GIN|Guinea|2013-11-8,KT833175,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KT833177|Sok18|GIN|Guinea|2013-11-9,KT833177,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KT833176|Sok10|GIN|Guinea|2013-11-8,KT833176,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KT833211|Sok40|GIN|Guinea|2014-4-3,KT833211,GIN,Faranah,Sokourala,10.0567833,-10.6658333
DQ832692|DGD4|Mouse|Guinea|2005,DQ832692,GIN,Gueckedou,Denguedou,8.338811,-10.543925
DQ832694|DGD28|Mouse|Guinea|2005,DQ832694,GIN,Gueckedou,Denguedou,8.338811,-10.543925
MG812631|807987|Human|Liberia|1981,MG812631,LBR,,,NA,NA
AF182267|las807992|Human|Guinea|1997,AF182267,GIN,Faranah,Kissidougou,9.192085,-10.113945
MH732623|GUIN-1739-Mn-2018|Mastomys_natalensis|Guinea|2018,MH732623,GIN,Nzerekore,,7.758615,-8.815928
AF182265|las807998|Human|Guinea|1997,AF182265,GIN,Nzerekore,Nzerekore,7.758615,-8.815928
GU830821|Lib06-174|Human|LIB|2006,GU830821,LBR,,,NA,NA
MH215285|LF18040|Human|Liberia_Monsterrado|2018-03-02,MH215285,LBR,Montserrado,,NA,NA
AY628205|Z148|?|LIB|1981,AY628205,LIB,,,NA,NA
MG812645|806387|Human|Guinea|1981,MG812645,GIN,,,NA,NA
AF182261|las806828|Human|GIN|1981,AF182261,GIN,,,NA,NA
KM821798|G1200_LIB_2010|Human|Liberia|2010,KM821798,LBR,,,NA,NA
KT992417|Mad41|Mouse|Guinea|2014-05-08,KT992417,GIN,Kindia,MadinaOula,9.87,-12.43
KT992421|Mad83|Mouse|Guinea|2014-05-10,KT992421,GIN,Kindia,MadinaOula,9.87,-12.43
KT992416|Mad39|Mouse|Guinea|2014-05-08,KT992416,GIN,Kindia,MadinaOula,9.87,-12.43
KT992419|Mad63|Mouse|Guinea|2014-05-09,KT992419,GIN,Kindia,MadinaOula,9.87,-12.43
KT992420|Mad69|Mouse|Guinea|2014-05-09,KT992420,GIN,Kindia,MadinaOula,9.87,-12.43
AF182256|las803972|Human|Sierra_Leone|1982,AF182256,SLE,Kailahun,Mano,NA,NA
AF182257|las807974|Human|Sierra_Leone|1976,AF182257,SLE,Kailahun,Mobai,7.9935681,-10.7537466
KM821800|G1442_SLE_2011|Human|Sierra_Leone|2011-01-20,KM821800,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821856|G2431_SLE_2012|Human|Sierra_Leone|2012-04-02,KM821856,SLE,Bo,Gondama,7.86688,-11.70931
GU979508|SL06-2057|Human|SLE|2006,GU979508,SLE,,,NA,NA
KM406543|LM0619|Mastomys_natalensis|SierraLeone|2009-08-08,KM406543,SLE,Bo,Barlie,8.02,-11.58
KM406540|LM0513|Mastomys_natalensis|SierraLeone|2009-08-01,KM406540,SLE,Kenema,Saama,8.28,-11.01
KM821872|G2789_SLE_2012|Human|Sierra_Leone|2012-09-08,KM821872,SLE,,,NA,NA
KM821885|G3034_SLE_2013|Human|Sierra_Leone|2013-02-27,KM821885,SLE,Bo,Bo,7.954896,-11.740823
KM821847|G2363_SLE_2012|Human|Sierra_Leone|2012-02-27,KM821847,SLE,Bo,Gondama,7.86688,-11.70931
KM821802|G1529_SLE_2011|Human|Sierra_Leone|2011-03-02,KM821802,SLE,Bo,Gondama,7.86688,-11.70931
KM821904|G3234_SLE_2013|Human|Sierra_Leone|2013-07-15,KM821904,SLE,Bo,Upper Saama,7.666711,-11.859363
KM821822|G2141_SLE_2011|Human|Sierra_Leone|2011-11-11,KM821822,SLE,Kenema,Ngomba Wandoh,NA,NA
KM821861|G2557_SLE_2012|Human|Sierra_Leone|2012-06-26,KM821861,SLE,Bo,Taninahun Malin,7.891162,-12.086255
