segment_S,accession_S,country,admin1,location,latitude,longitude
MH887755|LASV0194-EDO-2018|Human|Nigeria|2018-02-17,MH887755,NGA,Edo,EsanNort,NA,NA
LASV|NGA|2019|IRR_0013|2019-01-18,LASV|NGA|2019|IRR_0013|2019-01-18,NGA,Edo,Uromi,6.712259,6.329005
LASV|NGA|2019|IRR_0080|2019-01-17,LASV|NGA|2019|IRR_0080|2019-01-17,NGA,Edo,Uromi,6.712259,6.329005
KM822103|LASV1008_NIG_2009|Human|Nigeria|2009,KM822103,NGA,,,NA,NA
KM821955|ISTH2020_NIG_2012|Human|Nigeria|2012,KM821955,NGA,,,NA,NA
MH053580|ISTH_1070|Human|Nigeria|2016-04-13,MH053580,NGA,Edo,Ikpoba-Okha,NA,NA
LASV|NGA|2019|IRR_0025|2019-02-02,LASV|NGA|2019|IRR_0025|2019-02-02,NGA,Edo,Irrua,6.738429,6.221953
KM821965|ISTH2046_NIG_2012|Human|Nigeria|2012,KM821965,NGA,,,NA,NA
LASV_NGA_2018_IRR_051_NGA-Edo_Uromi_Hs_2018-02-06,MK117986,NGA,Edo,Uromi,6.712259,6.329005
MH887816|LASV0130-EDO-2018|Human|Nigeria|2018-01-15,MH887816,NGA,Edo,EsanNort,NA,NA
LASV_NGA_2018_IRR_103_NGA-Edo_Uromi_Hs_2018-02-18,MK118021,NGA,Edo,Uromi,6.712259,6.329005
KM822069|LASV966_NIG_2009|Human|Nigeria|2009,KM822069,NGA,,,NA,NA
LASV_NGA_2018_IRR_066_NGA-Edo_Auchi_Hs_2018-02-10,MK117997,NGA,Edo,Auchi,7.066667,6.266667
LASV_NGA_2018_IRR_085_NGA-Edo_Sabongida-Ora_Hs_2018-02-14,MK118010,NGA,Edo,Sabongida-Ora,6.947775,5.91429
KM821996|ISTH2358_NIG_2012|Human|Nigeria|2012,KM821996,NGA,,,NA,NA
KM821922|ISTH0531_NIG_2011|Human|Nigeria|2011,KM821922,NGA,,,NA,NA
KM822047|LASV254_NIG_2011|Human|Nigeria|2011,KM822047,NGA,,,NA,NA
MH887878|LASV0182-EDO-2018|Human|Nigeria|2018-02-13,MH887878,NGA,Edo,EtsakoWe,NA,NA
MK281631|LASV0233-EDO-2018|Human|NGA|2018-02-18,MK281631,NGA,Edo,,NA,NA
MH887810|LASV0149-KOGI-2018|Human|Nigeria|2018-01-30,MH887810,NGA,Kogi,,NA,NA
LASV_NGA_2016_IRR_022_NGA-Kogi_Idah_Hs_2016-02-20,MK107955,NGA,Kogi,Idah,7.11365,6.74345
LASV_NGA_2018_IRR_022_NGA-Kogi_Lokoja_Hs_2018-01-17,MK117968,NGA,Kogi,Lokoja,7.80207,6.74365
LASV_NGA_2018_IRR_141_NGA-Kogi_Idah_Hs_2018-02-23,MK118038,NGA,Kogi,Idah,7.11365,6.74345
MH887763|LASV0075-EDO-2017|Human|Nigeria|2017-03-15,MH887763,NGA,Edo,EtsakoWe,NA,NA
KM822012|LASV049_NIG_2009|Human|Nigeria|2009,KM822012,NGA,,,NA,NA
KM822031|LASV239_NIG_2010|Human|Nigeria|2010,KM822031,NGA,,,NA,NA
KM821961|ISTH2037_NIG_2012|Human|Nigeria|2012,KM821961,NGA,,,NA,NA
LASV|NGA|2019|IRR_0075|2019-02-15,LASV|NGA|2019|IRR_0075|2019-02-15,NGA,Edo,Auchi,7.066667,6.266667
KM821937|ISTH1069_NIG_2011|Human|Nigeria|2011,KM821937,NGA,,,NA,NA
KM822063|LASV736_NIG_2009|Human|Nigeria|2009,KM822063,NGA,,,NA,NA
KM822039|LASV246_NIG_2010|Human|Nigeria|2010,KM822039,NGA,,,NA,NA
KM821988|ISTH2304_NIG_2012|Human|Nigeria|2012,KM821988,NGA,,,NA,NA
MH887888|LASV0068-ONDO-2017|Human|Nigeria|2017-01-26,MH887888,NGA,Ondo,,NA,NA
KM821947|ISTH1129_NIG_2012|Human|Nigeria|2012,KM821947,NGA,,,NA,NA
LASV|NGA|2019|IRR_0048|2019-01-08,LASV|NGA|2019|IRR_0048|2019-01-08,NGA,Edo,Auchi,7.066667,6.266667
LASV|NGA|2019|IRR_0020|2019-01-09,LASV|NGA|2019|IRR_0020|2019-01-09,NGA,Ondo,Akoko,7.457113,5.799837
LASV_NGA_2018_IRR_126_NGA-Ondo_Ute_Hs_2018-02-28,MK118030,NGA,Ondo,Ute,6.849914,5.600172
MH887758|LASV0096-ONDO-2017|Human|Nigeria|2017-09-18,MH887758,NGA,Ondo,,NA,NA
LASV_NGA_2015_IRR_012_NGA-Ondo_Ifon_Hs_2015-11-06,MK107916,NGA,Ondo,Ifon,6.926767,5.773787
